account_length,customer_service_calls,number_vm_messages,total_day_calls,total_day_charge,total_day_min,total_eve_calls,total_eve_charge,total_eve_min,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,total_night_minutes,voice_mail_plan,intertiol_plan,location_code,Churn,total_mins,total_calls,total_charge,mins_per_call,has_plan
106.0,1.0,0.0,124.0,32.54,191.4,116.0,17.06,200.7,3.0,2.21,8.2,76.0,10.35,230.1,0,0,1,0,630.4000000000001,319.0,62.16,1.976175548589342,0
60.0,2.0,0.0,101.0,49.27,289.8,115.0,21.73,255.6,4.0,3.16,11.7,76.0,10.93,242.8,0,0,0,1,799.9000000000001,296.0,85.09,2.7023648648648653,0
134.0,2.0,34.0,105.0,42.02,247.2,133.0,19.17,225.5,5.0,1.65,6.1,76.0,8.38,186.3,1,0,2,1,665.1,319.0,71.22000000000001,2.0849529780564264,1
85.0,2.0,37.0,123.0,39.03,229.6,90.0,11.25,132.3,8.0,2.57,9.5,76.0,9.54,211.9,1,0,0,0,583.3,297.0,62.39,1.963973063973064,1
94.0,1.0,0.0,94.0,15.22,89.5,106.0,28.89,339.9,1.0,2.13,7.9,76.0,7.78,172.9,0,1,0,1,610.1999999999999,277.0,54.02,2.202888086642599,1
42.0,1.0,0.0,106.0,51.66,303.9,54.0,19.74,232.2,3.0,1.57,5.8,76.0,6.62,147.1,0,0,1,1,688.9999999999999,239.0,79.58999999999999,2.8828451882845183,0
119.0,3.0,29.0,66.0,20.03,117.8,114.0,21.83,256.8,3.0,2.05,7.6,76.0,6.64,147.6,1,0,1,0,529.8000000000001,259.0,50.55,2.0455598455598456,1
88.0,4.0,0.0,86.0,12.46,73.3,82.0,13.72,161.4,3.0,2.21,8.2,76.0,10.78,239.6,0,0,2,1,482.49999999999994,247.0,39.17,1.9534412955465585,0
91.0,1.0,0.0,123.0,26.01,153.0,127.0,11.99,141.1,15.0,2.78,10.3,76.0,7.72,171.5,0,0,1,1,475.90000000000003,341.0,48.5,1.395601173020528,0
108.0,4.0,34.0,83.0,27.56,162.1,117.0,14.6,171.8,3.0,2.59,9.6,76.0,11.69,259.8,1,0,2,1,603.3000000000001,279.0,56.44,2.1623655913978497,1
68.0,1.0,0.0,61.0,30.38,178.7,84.0,21.45,252.3,4.0,2.27,8.4,76.0,11.51,255.7,0,0,1,0,695.1,225.0,65.61,3.0893333333333333,0
90.0,0.0,26.0,104.0,28.73,169.0,104.0,16.05,188.8,3.0,3.59,13.3,76.0,9.6,213.3,1,1,1,1,584.4,287.0,57.97,2.0362369337979094,1
116.0,0.0,0.0,94.0,39.2,230.6,103.0,19.05,224.1,2.0,3.0,11.1,76.0,10.98,244.0,1,0,1,0,709.8000000000001,275.0,72.23,2.5810909090909093,1
91.0,1.0,34.0,96.0,29.8,175.3,122.0,22.3,262.3,11.0,1.51,5.6,76.0,6.48,143.9,1,0,1,0,587.1,305.0,60.089999999999996,1.9249180327868853,1
113.0,4.0,23.0,104.0,25.33,149.0,67.0,20.04,235.8,5.0,2.57,9.5,76.0,9.08,201.8,1,0,1,0,596.1,252.0,57.019999999999996,2.3654761904761905,1
97.0,1.0,0.0,119.0,19.16,112.7,109.0,18.5,217.7,5.0,1.76,6.5,76.0,6.84,152.1,0,0,1,0,489.0,309.0,46.26,1.5825242718446602,0
92.0,1.0,0.0,107.0,12.64,67.6,121.0,14.35,181.6,2.0,2.81,10.4,76.0,9.98,231.7,0,1,0,1,491.29999999999995,306.0,39.78,1.6055555555555554,1
150.0,4.0,0.0,110.0,24.22,148.6,81.0,17.8,205.4,3.0,3.29,12.2,76.0,7.25,150.1,0,0,1,1,516.3000000000001,270.0,52.559999999999995,1.9122222222222225,0
108.0,4.0,34.0,80.0,27.56,169.1,122.0,13.6,164.8,2.0,2.59,9.6,76.0,11.69,244.8,1,0,2,1,588.3000000000001,280.0,55.44,2.1010714285714287,1
44.0,2.0,0.0,126.0,36.78,233.1,73.0,24.5,265.5,6.0,2.67,9.9,76.0,12.59,273.8,0,0,2,1,782.3000000000001,281.0,76.54,2.783985765124555,0
156.0,1.0,0.0,94.0,30.4,178.8,97.0,15.16,178.4,3.0,2.03,7.5,77.0,7.61,169.2,0,0,1,0,533.9000000000001,271.0,55.2,1.9701107011070114,0
127.0,1.0,14.0,99.0,24.34,143.2,91.0,14.44,169.9,1.0,3.13,11.6,77.0,9.97,221.6,1,0,1,0,546.3000000000001,268.0,51.88,2.038432835820896,1
121.0,3.0,30.0,129.0,33.73,198.4,77.0,6.4,75.3,3.0,1.57,5.8,77.0,8.15,181.2,1,0,0,1,460.7,286.0,49.849999999999994,1.6108391608391608,1
74.0,2.0,0.0,95.0,26.71,157.1,36.0,18.11,213.1,3.0,2.05,7.6,77.0,12.62,280.4,0,0,0,0,658.1999999999999,211.0,59.489999999999995,3.1194312796208528,0
119.0,1.0,0.0,90.0,30.06,176.8,81.0,19.1,224.7,15.0,2.03,7.5,77.0,9.21,204.6,0,0,1,0,613.6,263.0,60.4,2.333079847908745,0
103.0,1.0,34.0,80.0,23.6,138.8,108.0,12.07,142.0,7.0,3.19,11.8,77.0,8.27,183.8,1,0,1,0,476.40000000000003,272.0,47.129999999999995,1.7514705882352943,1
128.0,1.0,0.0,75.0,27.0,158.8,91.0,22.51,264.8,7.0,2.05,7.6,77.0,12.15,270.0,0,0,0,0,701.2,250.0,63.71,2.8048,0
87.0,1.0,0.0,93.0,26.66,156.8,68.0,18.34,215.8,6.0,2.05,7.6,77.0,10.05,223.3,0,0,1,0,603.5000000000001,244.0,57.099999999999994,2.4733606557377055,0
82.0,3.0,34.0,121.0,39.54,232.6,115.0,13.02,153.2,3.0,1.27,4.7,77.0,12.9,286.7,1,0,2,0,677.2,316.0,66.73,2.1430379746835446,1
138.0,1.0,0.0,82.0,28.78,169.3,147.0,18.52,217.9,9.0,2.54,9.4,77.0,8.29,184.2,0,1,2,0,580.8000000000001,315.0,58.129999999999995,1.843809523809524,1
78.0,1.0,0.0,141.0,40.26,236.8,101.0,22.55,265.3,2.0,2.57,9.5,77.0,6.86,152.4,0,1,1,1,664.0,321.0,72.24,2.068535825545171,1
57.0,1.0,30.0,105.0,30.46,179.2,83.0,24.07,283.2,5.0,3.97,14.7,77.0,10.26,228.1,1,0,1,0,705.2,270.0,68.76,2.611851851851852,1
105.0,0.0,6.333333333333333,79.0,17.32,101.9,97.0,18.96,223.1,2.0,3.48,12.9,77.0,10.87,241.6,1,0,2,0,579.5,255.0,50.629999999999995,2.272549019607843,1
7.0,3.0,0.0,87.0,35.14,206.7,83.0,23.89,281.1,5.0,2.97,11.0,77.0,7.13,158.5,0,0,1,0,657.3,252.0,69.13,2.608333333333333,0
104.0,5.0,0.0,127.0,47.67,280.4,79.0,15.25,179.4,6.0,4.1,15.2,77.0,6.78,150.6,0,0,0,0,625.6,289.0,73.8,2.164705882352941,0
123.0,1.0,0.0,119.0,27.73,163.1,51.0,21.2,249.4,10.0,2.43,9.0,77.0,7.57,168.2,0,0,1,0,589.7,257.0,58.93,2.2945525291828797,0
73.0,0.0,0.0,136.0,16.0,94.1,122.0,23.83,280.3,4.0,2.65,9.8,77.0,9.23,205.0,0,0,0,0,589.1999999999999,339.0,51.71,1.7380530973451325,0
35.0,0.0,0.0,129.0,17.95,105.6,129.0,21.95,258.2,3.0,2.35,8.7,77.0,9.59,213.1,0,0,1,0,585.6,338.0,51.839999999999996,1.7325443786982249,0
160.0,1.0,0.0,109.0,28.36,166.8,117.0,20.06,236.0,1.0,2.51,9.3,77.0,13.84,307.6,0,0,0,0,719.7,304.0,64.77000000000001,2.3674342105263158,0
46.0,1.0,0.0,81.0,23.7,139.4,113.0,19.01,223.7,6.0,3.67,13.6,77.0,7.79,173.1,0,0,0,0,549.8000000000001,277.0,54.17,1.984837545126354,0
204.0,3.0,0.0,145.0,34.88,205.2,95.0,13.16,154.8,5.0,3.81,14.1,77.0,8.61,191.4,0,0,2,0,565.5,322.0,60.46000000000001,1.7562111801242235,0
177.0,2.0,0.0,106.0,39.58,232.8,97.0,14.89,175.2,7.0,3.38,12.5,77.0,9.55,212.2,0,0,1,0,632.7,287.0,67.39999999999999,2.204529616724739,0
123.0,2.0,0.0,135.0,40.15,236.2,88.0,23.28,273.9,6.0,2.73,10.1,77.0,10.22,227.0,0,0,0,1,747.1999999999999,306.0,76.38000000000001,2.441830065359477,0
103.0,4.0,35.0,101.0,18.79,110.5,81.0,17.71,208.3,2.0,3.75,13.9,77.0,3.93,87.4,1,0,2,1,420.1,261.0,44.18,1.6095785440613029,1
232.0,1.0,0.0,104.0,28.15,165.6,115.0,16.65,195.9,3.0,3.19,11.8,77.0,5.32,118.3,0,0,0,0,491.6,299.0,53.309999999999995,1.6441471571906354,0
44.0,1.0,0.0,77.0,24.34,143.2,114.0,14.43,169.8,4.0,2.05,7.6,77.0,9.71,215.8,0,0,2,0,536.4,272.0,50.529999999999994,1.9720588235294116,0
146.0,1.0,31.0,91.0,34.43,202.5,108.0,20.52,241.4,2.0,2.11,7.8,77.0,7.63,169.6,1,0,0,0,621.3,278.0,64.69000000000001,2.234892086330935,1
100.0,1.0,0.0,87.0,19.7,115.9,56.0,9.46,111.3,4.0,1.92,7.1,77.0,7.66,170.2,0,0,2,0,404.5,224.0,38.74,1.8058035714285714,0
74.0,0.0,25.0,113.0,39.85,234.4,82.0,22.6,265.9,4.0,3.7,13.7,77.0,10.86,241.4,1,0,1,0,755.4,276.0,77.01,2.7369565217391303,1
38.0,2.0,0.0,86.0,23.43,137.8,76.0,24.34,286.3,3.0,3.81,14.1,77.0,7.52,167.0,0,0,1,0,605.2,242.0,59.099999999999994,2.5008264462809917,0
101.0,4.0,0.0,89.0,26.15,153.8,89.0,19.89,234.0,2.0,3.13,11.6,77.0,8.83,196.3,0,0,1,0,595.7,257.0,58.0,2.317898832684825,0
116.0,0.0,0.0,84.0,22.0,129.4,89.0,13.37,157.3,3.0,3.59,13.3,77.0,9.7,215.5,0,0,1,0,515.5,253.0,48.66,2.0375494071146245,0
149.0,5.0,28.0,97.0,21.57,126.9,102.0,14.19,166.9,3.0,2.38,8.8,77.0,6.53,145.2,1,1,1,1,447.8,279.0,44.67,1.6050179211469535,1
137.0,1.0,0.0,81.0,26.44,155.5,94.0,11.31,133.1,2.0,2.46,9.1,77.0,11.39,253.1,0,0,2,0,550.8000000000001,254.0,51.6,2.1685039370078742,0
44.0,2.0,0.0,121.0,38.78,228.1,79.0,23.5,276.5,5.0,2.67,9.9,77.0,12.59,279.8,0,0,2,1,794.3000000000001,282.0,77.54,2.816666666666667,0
125.0,1.0,0.0,132.0,23.82,140.1,126.0,17.82,172.76666666666665,2.0,2.16,8.0,103.66666666666667,11.88,264.1,0,0,1,0,584.9666666666667,363.6666666666667,55.68000000000001,1.6085242896425298,0
135.0,0.0,0.0,83.0,31.43,162.1,105.0,18.33,197.9,14.0,3.94,14.6,77.0,5.5,127.2,1,1,0,1,501.8,279.0,59.199999999999996,1.7985663082437275,1
88.0,4.0,0.0,102.0,37.97,236.1,78.0,21.4,255.8,1.0,1.94,7.2,77.0,12.87,282.9,0,1,1,1,782.0,258.0,74.17999999999999,3.0310077519379846,1
88.0,4.0,0.0,110.0,12.57,79.7,72.0,17.84,234.6,3.0,3.13,11.6,77.0,8.58,198.6,0,0,1,1,524.5,262.0,42.120000000000005,2.0019083969465647,0
116.0,5.0,0.0,98.0,23.66,146.3,126.0,20.06,235.8,4.0,3.05,11.3,77.0,9.86,219.0,0,0,0,1,612.4,305.0,56.629999999999995,2.0078688524590165,0
152.0,9.0,20.0,116.0,42.38,234.5,96.0,22.54,265.4,3.0,3.83,14.2,77.0,11.93,268.2,1,1,1,1,782.3,292.0,80.67999999999999,2.679109589041096,1
33.0,4.0,29.0,101.0,25.76,151.4,77.0,10.02,109.9,11.0,3.75,13.9,77.0,12.56,264.2,1,0,1,1,539.4,266.0,52.09,2.02781954887218,1
136.0,1.0,0.0,106.0,46.1,271.4,122.0,15.68,177.7,5.0,2.89,10.7,77.0,13.22,285.7,0,0,2,1,745.5,310.0,77.89,2.4048387096774193,0
90.0,2.0,0.0,97.0,36.53,214.9,117.0,10.01,117.8,2.0,3.19,11.8,78.0,6.02,133.7,0,0,1,0,478.2,294.0,55.75,1.626530612244898,0
16.0,3.0,0.0,100.0,27.52,161.9,138.0,19.56,230.1,11.0,2.75,10.2,78.0,6.7,148.8,0,0,1,0,551.0,327.0,56.53,1.6850152905198776,0
34.0,2.0,0.0,82.0,21.22,124.8,98.0,23.99,282.2,4.0,2.7,10.0,78.0,14.02,311.5,0,0,2,0,728.5,262.0,61.92999999999999,2.780534351145038,0
130.0,0.0,0.0,112.0,31.11,183.0,99.0,6.2,72.9,19.0,2.57,9.5,78.0,8.18,181.8,0,0,1,0,447.20000000000005,308.0,48.06,1.451948051948052,0
111.0,0.0,0.0,109.0,42.47,249.8,106.0,20.6,242.4,4.0,3.13,11.6,78.0,10.43,231.8,0,0,0,1,735.6,297.0,76.63,2.4767676767676767,0
87.0,1.0,19.0,122.0,28.19,165.8,89.0,15.89,186.9,0.0,0.0,0.0,78.0,11.24,249.7,1,0,1,0,602.4000000000001,289.0,55.32,2.084429065743945,1
126.0,0.0,0.0,110.0,27.44,161.4,125.0,18.75,220.6,2.0,1.38,5.1,78.0,11.21,249.2,0,0,1,0,636.3000000000001,315.0,58.78,2.02,0
217.0,0.0,0.0,138.0,21.03,123.7,105.0,21.12,248.5,4.0,3.59,13.3,78.0,12.13,269.6,0,0,1,0,655.0999999999999,325.0,57.870000000000005,2.0156923076923072,0
108.0,0.0,0.0,99.0,28.83,169.6,87.0,22.45,264.1,4.0,2.51,9.3,78.0,9.28,206.3,0,0,2,0,649.3,268.0,63.07,2.422761194029851,0
100.0,4.0,0.0,85.0,35.85,210.9,69.0,27.99,329.3,5.0,2.54,9.4,78.0,5.72,127.1,0,0,0,0,676.7,237.0,72.10000000000001,2.855274261603376,0
103.0,3.0,0.0,124.0,10.68,62.8,66.0,14.48,170.4,4.0,2.54,9.4,78.0,12.61,280.2,0,1,0,0,522.8,272.0,40.309999999999995,1.9220588235294116,1
21.0,5.0,0.0,95.0,15.74,92.6,70.0,13.76,161.9,3.0,3.05,11.3,78.0,12.83,285.0,0,0,1,1,550.8,246.0,45.379999999999995,2.239024390243902,0
172.0,3.0,0.0,121.0,36.04,212.0,115.0,2.65,136.5,10.0,3.4,12.6,78.0,13.2,293.3,0,0,0,0,654.4,324.0,55.29,2.019753086419753,0
150.0,4.0,0.0,112.0,23.22,136.6,81.0,17.8,209.4,2.0,3.29,12.2,78.0,7.25,161.1,0,0,1,1,519.3000000000001,273.0,51.559999999999995,1.9021978021978025,0
86.0,0.0,0.0,79.0,29.97,176.3,97.0,22.03,259.2,3.0,1.67,6.2,78.0,12.93,287.4,0,0,2,0,729.1,257.0,66.60000000000001,2.836964980544747,0
135.0,0.0,10.333333333333334,85.0,29.43,173.1,107.0,17.33,203.9,15.0,3.94,14.6,78.0,5.5,122.2,1,1,0,1,513.8,285.0,56.199999999999996,1.8028070175438595,1
112.0,2.0,0.0,114.0,31.52,185.4,119.0,16.27,191.4,11.0,2.7,10.0,78.0,6.48,144.0,0,0,1,0,530.8,322.0,56.97,1.648447204968944,0
116.0,5.0,0.0,94.0,22.66,133.3,126.0,21.06,247.8,5.0,3.05,11.3,78.0,9.86,219.0,0,0,0,1,611.4,303.0,56.629999999999995,2.017821782178218,0
62.0,1.0,0.0,109.0,42.28,248.7,118.0,18.7,220.0,2.0,3.56,13.2,78.0,11.96,265.7,0,0,1,1,747.6,307.0,76.5,2.4351791530944626,0
85.0,3.0,0.0,114.0,43.4,255.3,83.0,16.54,194.6,5.0,1.0,3.7,78.0,12.45,276.6,0,0,1,0,730.2,280.0,73.39,2.607857142857143,0
106.0,2.0,0.0,104.0,19.45,114.4,101.0,6.66,78.3,0.0,0.0,0.0,78.0,10.47,232.7,0,0,1,0,425.4,283.0,36.58,1.5031802120141342,0
110.0,1.0,0.0,94.0,37.86,222.7,98.0,8.99,105.8,4.0,3.65,13.5,78.0,9.67,214.8,0,0,0,0,556.8,274.0,60.17,2.0321167883211677,0
58.0,0.0,0.0,95.0,19.07,112.2,108.0,17.82,209.6,2.3333333333333335,3.75,13.9,78.0,11.74,260.9,0,0,2,1,596.6,283.3333333333333,52.38,2.1056470588235294,0
133.0,1.0,0.0,91.0,27.56,162.1,94.0,18.03,212.1,5.0,3.29,12.2,78.0,11.72,260.4,0,0,0,0,646.8,268.0,60.6,2.4134328358208954,0
97.0,1.0,28.0,93.0,48.13,283.1,98.0,15.76,185.4,8.0,1.65,6.1,78.0,14.08,312.8,1,0,0,0,787.4,277.0,79.62,2.8425992779783393,1
85.0,2.0,0.0,93.0,39.586666666666666,236.9,113.0,16.8,197.7,7.0,3.08,11.4,78.0,13.91,309.1,0,0,1,1,755.1,291.0,73.37666666666667,2.5948453608247424,0
21.0,3.0,19.0,94.0,22.56,132.7,101.0,17.39,204.6,7.0,3.48,12.9,78.0,6.96,154.7,1,0,1,0,504.8999999999999,280.0,50.39,1.8032142857142854,1
161.0,1.0,0.0,109.0,30.28,178.1,86.0,12.45,146.5,2.0,2.3,8.5,78.0,6.19,137.6,0,0,1,0,470.70000000000005,275.0,51.22,1.7116363636363638,0
136.0,1.0,0.0,99.0,44.1,259.4,125.0,14.68,172.7,6.0,2.89,10.7,78.0,13.22,293.7,0,0,2,1,736.5,308.0,74.89,2.3912337662337664,0
64.0,3.0,0.0,93.0,36.3,213.5,114.0,14.16,166.6,3.0,3.81,14.1,78.0,5.49,122.0,0,0,2,0,516.2,288.0,59.76,1.7923611111111113,0
81.0,0.0,0.0,48.0,55.2,324.7,82.0,20.09,236.4,5.0,3.54,13.1,78.0,8.44,187.6,0,0,1,1,761.8000000000001,213.0,87.27000000000001,3.5765258215962445,0
94.0,1.0,0.0,113.0,28.92,170.1,94.0,23.1,271.8,4.0,2.35,8.7,78.0,4.98,110.7,0,1,0,0,561.3000000000001,289.0,59.35,1.9422145328719727,1
80.0,1.0,0.0,122.0,47.01,276.5,79.0,16.63,195.6,3.0,1.94,7.2,78.0,9.46,210.3,0,1,1,1,689.6000000000001,282.0,75.03999999999999,2.4453900709219862,1
120.0,0.0,0.0,133.0,31.57,185.7,149.0,19.98,235.1,6.0,4.56,16.9,78.0,11.54,256.4,0,0,1,0,694.0999999999999,366.0,67.64999999999999,1.8964480874316938,0
112.0,1.0,0.0,108.0,19.69,115.8,111.0,20.68,243.3,5.0,3.54,13.1,78.0,8.31,184.6,0,0,1,0,556.8000000000001,302.0,52.220000000000006,1.8437086092715234,0
91.0,2.0,0.0,107.0,21.05,123.8,125.0,27.12,319.0,4.0,1.97,7.3,78.0,10.69,237.6,0,0,2,0,687.6999999999999,314.0,60.83,2.1901273885350316,0
164.0,1.0,0.0,78.0,20.96,123.3,85.0,14.45,170.0,2.0,3.43,12.7,78.0,7.47,165.9,0,0,1,0,471.90000000000003,243.0,46.309999999999995,1.9419753086419755,0
128.0,0.0,29.0,104.0,30.48,179.3,86.0,19.2,225.9,7.0,2.32,8.6,78.0,14.54,323.0,1,0,2,0,736.8000000000001,275.0,66.53999999999999,2.6792727272727275,1
137.0,1.0,0.0,95.0,16.58,97.5,82.0,16.64,195.8,0.0,0.0,0.0,78.0,13.0,288.8,0,0,2,0,582.1,255.0,46.22,2.2827450980392157,0
120.0,1.0,28.0,123.0,36.69,215.8,76.0,24.24,285.2,3.0,1.86,6.9,78.0,8.64,192.1,1,0,0,0,700.0,280.0,71.42999999999999,2.5,1
159.0,1.0,0.0,54.0,45.71,253.1,127.0,25.54,302.2,7.0,2.38,8.8,78.0,8.24,187.0,0,1,0,1,751.0999999999999,266.0,81.86999999999999,2.8236842105263156,1
137.0,2.0,0.0,87.0,23.97,126.1,98.0,11.4,130.1,3.0,3.32,12.3,78.0,10.04,237.1,0,1,1,1,505.59999999999997,266.0,48.73,1.900751879699248,1
99.0,3.0,0.0,48.0,43.59,249.4,103.0,18.23,216.5,1.0,2.13,7.9,78.0,10.52,220.7,0,0,0,1,694.4999999999999,230.0,74.47,3.0195652173913037,0
77.0,4.0,28.0,121.0,22.1,152.9,108.0,20.78,256.5,4.0,3.11,11.5,78.0,9.34,210.5,1,0,2,1,631.4,311.0,55.33,2.030225080385852,1
82.0,3.0,0.0,76.0,33.16,172.2,116.0,14.67,176.4,6.0,2.86,10.6,78.0,11.51,249.8,0,0,1,1,609.0000000000001,276.0,62.199999999999996,2.206521739130435,0
1.0,5.0,0.0,106.0,31.96,182.1,111.0,10.47,131.9,2.0,2.7,10.0,78.0,6.85,155.3,0,0,1,1,479.3,297.0,51.980000000000004,1.6138047138047138,0
141.0,1.0,0.0,74.0,14.14,83.2,104.0,16.2,190.6,7.0,2.89,10.7,79.0,6.77,150.5,0,0,0,0,435.0,264.0,40.0,1.6477272727272727,0
115.0,0.0,0.0,120.0,35.8,210.6,84.0,13.01,153.1,5.0,2.97,11.0,79.0,11.8,262.2,0,0,1,0,636.9,288.0,63.58,2.2114583333333333,0
112.0,5.0,0.0,92.0,19.02,111.9,143.0,9.69,114.0,3.0,3.81,14.1,79.0,6.61,146.8,0,0,1,1,386.80000000000007,317.0,39.13,1.2201892744479497,0
185.0,1.0,0.0,92.0,23.73,139.6,115.0,21.27,250.2,4.0,2.92,10.8,79.0,7.11,158.1,0,0,0,0,558.6999999999999,290.0,55.03,1.9265517241379309,0
68.0,1.0,0.0,105.0,40.31,237.1,105.0,19.0,223.5,2.0,3.56,13.2,79.0,4.38,97.4,0,0,0,0,571.2,291.0,67.25,1.9628865979381445,0
60.0,3.0,0.0,99.0,21.27,125.1,62.0,21.15,248.8,3.0,3.02,11.2,79.0,9.51,211.3,0,0,0,0,596.4000000000001,243.0,54.95,2.4543209876543215,0
84.0,0.0,0.0,88.0,32.47,191.0,119.0,27.1,318.8,4.0,1.76,6.5,79.0,11.13,247.3,0,0,2,0,763.6,290.0,72.46000000000001,2.633103448275862,0
157.0,3.0,0.0,95.0,46.95,276.2,119.0,14.09,165.8,4.0,0.59,2.2,79.0,6.82,151.6,0,0,1,0,595.8000000000001,297.0,68.45000000000002,2.0060606060606063,0
134.0,1.0,38.0,93.0,36.45,214.4,57.0,17.99,211.7,8.0,2.7,10.0,79.0,7.43,165.0,1,0,1,0,601.1,237.0,64.57,2.5362869198312237,1
98.0,0.0,0.0,86.0,36.86,216.8,114.0,16.22,190.8,9.0,2.97,11.0,79.0,8.44,187.5,0,0,1,0,606.1,288.0,64.49,2.104513888888889,0
88.0,2.0,0.0,82.0,25.19,148.2,67.0,26.24,308.7,4.0,1.73,6.4,79.0,10.59,235.4,0,0,1,0,698.6999999999999,232.0,63.74999999999999,3.0116379310344823,0
38.0,2.0,36.0,98.0,19.62,115.4,83.0,14.13,166.2,6.0,4.1,15.2,79.0,8.31,184.7,1,0,0,0,481.5,266.0,46.160000000000004,1.8101503759398496,1
83.0,0.0,38.0,90.0,18.34,107.9,94.0,11.93,140.4,2.0,2.84,10.5,79.0,11.41,253.6,1,0,0,0,512.4,265.0,44.519999999999996,1.9335849056603773,1
176.0,1.0,0.0,101.0,34.32,201.9,78.0,13.15,154.7,2.0,2.43,9.0,79.0,7.4,164.4,0,0,0,0,530.0,260.0,57.3,2.0384615384615383,0
6.0,1.0,0.0,117.0,31.21,183.6,72.0,21.82,256.7,2.0,2.75,10.2,79.0,8.04,178.6,0,0,2,0,629.1,270.0,63.82,2.33,0
1.0,1.0,0.0,107.0,24.62,144.8,66.0,9.56,112.5,3.0,3.73,13.8,79.0,9.84,218.7,0,0,1,0,489.8,255.0,47.74999999999999,1.9207843137254903,0
106.0,1.0,0.0,107.0,28.8,169.4,71.0,16.76,197.2,4.0,2.89,10.7,79.0,9.1,202.2,0,0,2,0,579.5,261.0,57.550000000000004,2.2203065134099615,0
43.0,1.0,0.0,134.0,14.31,84.2,103.0,6.87,80.8,2.0,2.92,10.8,79.0,8.82,196.1,0,0,1,0,371.90000000000003,318.0,32.92,1.169496855345912,0
114.0,2.0,0.0,101.0,32.81,193.0,81.0,21.25,250.0,2.0,2.59,9.6,79.0,6.0,133.3,0,0,0,0,585.9,263.0,62.650000000000006,2.227756653992395,0
138.0,0.0,0.0,89.0,37.43,220.2,125.0,7.51,88.3,5.0,3.48,12.9,79.0,8.79,195.3,0,0,2,0,516.7,298.0,57.209999999999994,1.7338926174496645,0
59.0,1.0,31.0,78.0,38.25,225.0,79.0,16.26,191.3,3.0,2.46,9.1,79.0,10.2,226.7,1,1,2,0,652.1,239.0,67.17,2.7284518828451882,1
132.0,1.0,0.0,92.33333333333333,28.88,169.9,121.0,17.8,209.4,2.0,3.11,11.5,79.0,9.27,206.1,0,0,0,0,596.9,294.3333333333333,59.06,2.02797281993205,0
149.0,1.0,0.0,83.0,31.89,187.6,81.0,17.12,201.4,1.0,2.38,8.8,79.0,11.89,264.2,0,0,0,0,662.0,244.0,63.28000000000001,2.7131147540983607,0
33.0,4.0,29.0,99.0,26.76,157.4,80.0,10.02,117.9,11.0,3.75,13.9,79.0,12.56,279.2,1,0,1,1,568.4,269.0,53.09,2.1130111524163566,1
161.0,1.0,0.0,73.0,33.42,196.6,79.0,14.47,170.2,3.0,3.38,12.5,79.0,8.74,194.3,0,0,0,0,573.5999999999999,234.0,60.010000000000005,2.451282051282051,0
83.0,0.0,20.0,89.0,16.15,95.0,92.0,14.27,167.9,2.0,3.02,11.2,79.0,9.03,200.6,1,0,1,0,474.7,262.0,42.47,1.8118320610687022,1
104.0,0.0,0.0,128.0,39.81,234.2,92.0,24.91,293.1,6.0,2.65,9.8,79.0,8.28,183.9,0,0,2,1,720.9999999999999,305.0,75.65,2.3639344262295077,0
119.0,1.0,0.0,108.0,16.01,94.2,100.0,22.45,264.1,3.0,1.97,7.3,79.0,9.17,203.7,0,0,2,0,569.3,290.0,49.6,1.9631034482758618,0
121.0,2.0,0.0,100.0,14.64,86.1,113.0,22.08,259.8,9.0,2.46,9.1,79.0,6.66,148.0,0,0,1,0,503.0,301.0,45.839999999999996,1.6710963455149501,0
107.0,3.0,0.0,104.0,22.78,134.0,94.0,14.83,174.5,3.0,1.97,7.3,79.0,14.0,311.1,0,0,0,0,626.9,280.0,53.58,2.238928571428571,0
72.0,2.0,0.0,113.0,30.58,179.9,112.0,12.73,149.8,7.0,2.65,9.8,79.0,7.57,168.2,0,0,0,0,507.70000000000005,311.0,53.53,1.6324758842443732,0
62.0,2.0,0.0,84.0,14.67,86.3,99.0,20.29,238.7,1.0,3.38,12.5,79.0,10.73,238.4,0,0,1,0,575.9,263.0,49.07,2.1897338403041826,0
11.0,1.0,38.0,130.0,35.67,209.8,84.0,16.71,196.6,7.0,1.89,7.0,79.0,10.49,233.0,1,0,2,0,646.4,300.0,64.76,2.1546666666666665,1
97.0,1.0,24.0,135.0,22.64,133.2,58.0,18.46,217.2,3.0,2.97,11.0,79.0,4.24,70.6,1,0,1,0,432.0,275.0,48.31,1.5709090909090908,1
117.0,1.0,0.0,99.0,8.21,59.2,79.0,24.77,304.2,1.0,2.32,8.6,79.0,7.73,165.8,0,1,2,1,537.8000000000001,258.0,43.03000000000001,2.084496124031008,1
104.0,0.0,0.0,134.0,39.81,220.2,88.0,25.91,301.1,6.0,2.65,9.8,79.0,8.28,188.9,0,0,2,1,719.9999999999999,307.0,76.65,2.345276872964169,0
52.0,4.0,0.0,104.0,26.35,172.0,108.0,10.34,127.4,4.0,1.89,7.0,79.0,7.92,172.1,0,0,1,1,478.5,295.0,46.5,1.6220338983050848,0
152.0,1.0,0.0,123.0,26.96,141.8,92.0,24.28,280.6,2.0,1.16,4.3,79.0,9.61,204.6,1,1,2,1,631.3,296.0,62.01,2.13277027027027,1
